"Test Suite","Test Case","Test Step","Step Type","Step Status","Result message","Execution Date"
"Test Suite 1","Test Case 1","dataCleaner","jdbc","UNKNOWN","","20-Mar-2021 09_55",
"Test Suite 1","Test Case 1","request_1","restrequest","UNKNOWN","","20-Mar-2021 09_55",
"Test Suite 1","Test Case 1","getValue","groovy","OK","","20-Mar-2021 09_55",
"Test Suite 1","Test Case 1","getData","jdbc","UNKNOWN","","20-Mar-2021 09_55",
"Test Suite 1","Test Case 1","assert","groovy","OK","","20-Mar-2021 09_55",
"Test Suite 1","Test Case 1","dataCleaner","jdbc","UNKNOWN","","20-Mar-2021 09_55",
"Test Suite 1","Test Case 1","request_1","restrequest","UNKNOWN","","20-Mar-2021 09_55",
"Test Suite 1","Test Case 1","getValue","groovy","OK","","20-Mar-2021 09_55",
"Test Suite 1","Test Case 1","getData","jdbc","UNKNOWN","","20-Mar-2021 09_55",
"Test Suite 1","Test Case 1","assert","groovy","OK","","20-Mar-2021 09_55",
